date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:44	2027/2027	---M--	200	added ('OK')	text/plain	etag:%227eb-617ee6f2afa0b%22	https://bluepartnership.eu/robots.txt		(from )
14:18:44	52168/52168	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2015:18:44%20GMT	https://bluepartnership.eu/	C:/My%20Web%20Sites/SBEP_webpage/bluepartnership.eu/index.html	(from )
14:18:44	6604/6604	---M--	200	added ('OK')	image/png	etag:%2219cc-617ee703027c6%22	https://bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/SBEP_webpage/bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/apple-touch-icon.png	(from https://bluepartnership.eu/)
14:18:45	1162/1162	---M--	200	added ('OK')	image/png	etag:%2248a-617ee703064d4%22	https://bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/favicon-32x32.png	C:/My%20Web%20Sites/SBEP_webpage/bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/favicon-32x32.png	(from https://bluepartnership.eu/)
14:18:45	743/743	---M--	200	added ('OK')	image/png	etag:%222e7-617ee703064d4%22	https://bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/favicon-16x16.png	C:/My%20Web%20Sites/SBEP_webpage/bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/favicon-16x16.png	(from https://bluepartnership.eu/)
14:18:46	445/445	---M--	200	added ('OK')	text/html	etag:%221bd-617ee7030dee4%22	https://bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/site.webmanifest	C:/My%20Web%20Sites/SBEP_webpage/bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/site.html	(from https://bluepartnership.eu/)
14:18:46	2137/2137	---M--	200	added ('OK')	image/svg+xml	etag:%22859-617ee7030dee4%22	https://bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/SBEP_webpage/bluepartnership.eu/sites/bluepartnership.eu/themes/vlizbase/favicon/safari-pinned-tab.svg	(from https://bluepartnership.eu/)
14:18:47	6435/6435	---M-Z	200	added ('OK')	text/css	etag:%22755-62d75ed45b9a9%22	https://bluepartnership.eu/sites/bluepartnership.eu/files/css/css_qFpsidRRk9BVONNx3EaX3cPnmQnyco48Dawu7TclOcs.css?delta=0&language=en&theme=vlizbase&include=eJxNyFEKgCAMANALmYPoQhsOFZaNTQM7fdRH9Pd4iobZUItDsqEoUb-Jo-kgqV44BZ_eeQdC53BKvR5AloNQFu9Tasvve0HjbYWfb8neJt4	C:/My%20Web%20Sites/SBEP_webpage/bluepartnership.eu/sites/bluepartnership.eu/files/css/css_qFpsidRRk9BVONNx3EaX3cPnmQnyco48Dawu7TclOcs859e.css	(from https://bluepartnership.eu/)
14:18:47	82953/82953	---M-Z	200	added ('OK')	text/css	etag:%2232e1-62d75ed4633c1%22	https://bluepartnership.eu/sites/bluepartnership.eu/files/css/css_IlMS3Una-RY6O6IfgxhtCXE680-tLTazwbDlOAyD56I.css?delta=1&language=en&theme=vlizbase&include=eJxNyFEKgCAMANALmYPoQhsOFZaNTQM7fdRH9Pd4iobZUItDsqEoUb-Jo-kgqV44BZ_eeQdC53BKvR5AloNQFu9Tasvve0HjbYWfb8neJt4	C:/My%20Web%20Sites/SBEP_webpage/bluepartnership.eu/sites/bluepartnership.eu/files/css/css_IlMS3Una-RY6O6IfgxhtCXE680-tLTazwbDlOAyD56I0c70.css	(from https://bluepartnership.eu/)
14:18:48	8865/8865	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Feb%202025%2015:18:48%20GMT	https://use.typekit.net/elg5hho.css	C:/My%20Web%20Sites/SBEP_webpage/use.typekit.net/elg5hho.css	(from https://bluepartnership.eu/)
